onset	duration	partner (1=human,2=computer)	trial type	event type
5.031211	0	2	12	1
23.541197	0	2	12	2
24.041422	0	2	12	3
24.990827	0	2	12	4
26.473429	0	2	12	5
27.489679	0	2	12	6
28.006113	0	2	6	1
41.017952	0	2	6	2
41.568165	0	2	6	3
42.084374	0	2	6	4
44.000134	0	2	6	5
45.016427	0	2	6	6
45.532882	0	2	11	1
49.048288	0	2	11	2
49.898528	0	2	11	3
50.431151	0	2	11	4
52.330256	0	2	11	5
53.346657	0	2	11	6
53.863118	0	2	10	1
58.128243	0	2	10	2
58.778444	0	2	10	3
59.361085	0	2	10	4
61.210221	0	2	10	5
62.226696	0	2	10	6
62.743150	0	2	9	1
72.256201	0	2	9	2
72.836396	0	2	9	3
73.439338	0	2	9	4
75.271804	0	2	9	5
76.288105	0	2	9	6
76.804545	0	2	15	1
82.069288	0	2	15	2
82.669553	0	2	15	3
83.185699	0	2	15	4
85.101470	0	2	15	5
86.117552	0	2	15	6
86.634111	0	2	14	1
93.648056	0	2	14	2
94.748237	0	2	14	3
95.281136	0	2	14	4
97.180243	0	2	14	5
98.196595	0	2	14	6
98.713043	0	2	4	1
101.728589	0	2	4	2
102.498836	0	2	4	3
103.228215	0	2	4	4
104.927392	0	2	4	5
105.943627	0	2	4	6
106.459933	0	2	5	1
109.975375	0	2	5	2
110.555566	0	2	5	3
111.141843	0	2	5	4
112.990968	0	2	5	5
114.007306	0	2	5	6
114.523806	0	2	8	1
117.539308	0	2	8	2
118.639566	0	2	8	3
119.322154	0	2	8	4
121.071317	0	2	8	5
122.087422	0	2	8	6
122.604097	0	2	16	1
126.869190	0	2	16	2
127.639431	0	2	16	3
128.235517	0	2	16	4
130.067982	0	2	16	5
131.084262	0	2	16	6
131.600648	0	2	2	1
141.113852	0	2	2	2
141.764051	0	2	2	3
142.246923	0	2	2	4
144.196008	0	2	2	5
145.212299	0	2	2	6
145.728582	0	2	13	1
158.740600	0	2	13	2
159.340870	0	2	13	3
160.073574	0	2	13	4
161.772757	0	2	13	5
162.789082	0	2	13	6
163.305388	0	2	7	1
168.570268	0	2	7	2
169.120513	0	2	7	3
169.719998	0	2	7	4
171.552464	0	2	7	5
172.568762	0	2	7	6
173.085006	0	2	1	1
180.099240	0	2	1	2
180.949489	0	2	1	3
181.682240	0	2	1	4
183.381379	0	2	1	5
184.397451	0	2	1	6
184.914027	0	2	3	1
203.423894	0	2	3	2
203.924122	0	2	3	3
204.656942	0	2	3	4
206.356122	0	2	3	5
207.372203	0	2	3	6
213.903299	0	1	8	1
219.167858	0	1	8	2
219.938117	0	1	8	3
220.550960	0	1	8	4
222.366768	0	1	8	5
223.383062	0	1	8	6
223.899528	0	1	5	1
227.414703	0	1	5	2
227.914891	0	1	5	3
228.547878	0	1	5	4
230.347021	0	1	5	5
231.363446	0	1	5	6
231.879957	0	1	11	1
234.895442	0	1	11	2
235.495689	0	1	11	3
235.995248	0	1	11	4
237.927675	0	1	11	5
238.943901	0	1	11	6
239.460415	0	1	15	1
252.472052	0	1	15	2
253.122352	0	1	15	3
253.938510	0	1	15	4
255.554391	0	1	15	5
256.570694	0	1	15	6
257.087134	0	1	13	1
261.352237	0	1	13	2
261.932482	0	1	13	3
262.601939	0	1	13	4
264.367762	0	1	13	5
265.384001	0	1	13	6
265.900488	0	1	7	1
284.410277	0	1	7	2
285.510568	0	1	7	3
286.176259	0	1	7	4
287.942083	0	1	7	5
288.958635	0	1	7	6
289.475039	0	1	1	1
296.489096	0	1	1	2
297.039358	0	1	1	3
297.638838	0	1	1	4
299.471299	0	1	1	5
300.487571	0	1	1	6
301.003859	0	1	12	1
310.517199	0	1	12	2
311.367473	0	1	12	3
311.883358	0	1	12	4
313.799077	0	1	12	5
314.815543	0	1	12	6
315.332005	0	1	3	1
318.847365	0	1	3	2
319.427625	0	1	3	3
320.080446	0	1	3	4
321.862892	0	1	3	5
322.879227	0	1	3	6
323.395686	0	1	2	1
341.905457	0	1	2	2
342.755733	0	1	2	3
343.255063	0	1	2	4
345.187492	0	1	2	5
346.203846	0	1	2	6
346.720291	0	1	14	1
359.732089	0	1	14	2
360.282368	0	1	14	3
360.881857	0	1	14	4
362.714321	0	1	14	5
363.730396	0	1	14	6
364.247043	0	1	6	1
368.512167	0	1	6	2
369.162428	0	1	6	3
369.661872	0	1	6	4
371.594300	0	1	6	5
372.610513	0	1	6	6
373.127081	0	1	4	1
376.142642	0	1	4	2
376.742918	0	1	4	3
377.342343	0	1	4	4
379.174808	0	1	4	5
380.191071	0	1	4	6
380.707558	0	1	10	1
387.721644	0	1	10	2
388.491891	0	1	10	3
389.171267	0	1	10	4
390.920428	0	1	10	5
391.936709	0	1	10	6
392.453176	0	1	16	1
401.966316	0	1	16	2
402.466590	0	1	16	3
403.099371	0	1	16	4
404.898515	0	1	16	5
405.914848	0	1	16	6
406.431307	0	1	9	1
411.696015	0	1	9	2
412.796286	0	1	9	3
413.778531	0	1	9	4
415.227840	0	1	9	5
416.244290	0	1	9	6
