onset	duration	partner (1=human,2=computer)	trial type	event type
5.047879	0	1	7	1
10.329496	0	1	7	2
11.099721	0	1	7	3
11.778876	0	1	7	4
13.549321	0	1	7	5
14.561209	0	1	7	6
15.077639	0	1	4	1
24.590807	0	1	4	2
25.191002	0	1	4	3
25.690497	0	1	4	4
27.622848	0	1	4	5
28.639274	0	1	4	6
29.155519	0	1	6	1
33.420785	0	1	6	2
33.921010	0	1	6	3
34.553887	0	1	6	4
36.352963	0	1	6	5
37.369383	0	1	6	6
37.885602	0	1	8	1
56.395472	0	1	8	2
56.945645	0	1	8	3
57.511926	0	1	8	4
59.377638	0	1	8	5
60.393859	0	1	8	6
60.910523	0	1	1	1
64.425874	0	1	1	2
65.526118	0	1	1	3
66.092084	0	1	1	4
67.957799	0	1	1	5
68.974173	0	1	1	6
69.490635	0	1	10	1
82.502462	0	1	10	2
83.152698	0	1	10	3
83.802107	0	1	10	4
85.584520	0	1	10	5
86.600942	0	1	10	6
87.117404	0	1	3	1
94.131461	0	1	3	2
94.981697	0	1	3	3
95.647708	0	1	3	4
97.413463	0	1	3	5
98.429771	0	1	3	6
98.946274	0	1	9	1
101.961837	0	1	9	2
102.542075	0	1	9	3
103.111553	0	1	9	4
104.977267	0	1	9	5
105.993667	0	1	9	6
106.510122	0	1	11	1
110.775212	0	1	11	2
111.875450	0	1	11	3
112.458119	0	1	11	4
114.307174	0	1	11	5
115.323529	0	1	11	6
115.839979	0	1	16	1
119.355356	0	1	16	2
120.125595	0	1	16	3
120.638332	0	1	16	4
122.554025	0	1	16	5
123.570374	0	1	16	6
124.086860	0	1	2	1
133.600055	0	1	2	2
134.450315	0	1	2	3
135.032988	0	1	2	4
136.882043	0	1	2	5
137.898437	0	1	2	6
138.414683	0	1	12	1
156.924612	0	1	12	2
157.504819	0	1	12	3
158.157485	0	1	12	4
159.939982	0	1	12	5
160.956453	0	1	12	6
161.472917	0	1	14	1
166.737641	0	1	14	2
167.337887	0	1	14	3
168.021043	0	1	14	4
169.769735	0	1	14	5
170.785919	0	1	14	6
171.302493	0	1	5	1
174.318162	0	1	5	2
174.818384	0	1	5	3
175.584304	0	1	5	4
177.250180	0	1	5	5
178.266677	0	1	5	6
178.783130	0	1	15	1
185.797200	0	1	15	2
186.347433	0	1	15	3
187.113470	0	1	15	4
188.779267	0	1	15	5
189.795666	0	1	15	6
190.311951	0	1	13	1
203.323954	0	1	13	2
203.974205	0	1	13	3
204.623612	0	1	13	4
206.406029	0	1	13	5
207.422411	0	1	13	6
213.953325	0	2	7	1
216.968841	0	2	7	2
217.819148	0	2	7	3
218.501772	0	2	7	4
220.250867	0	2	7	5
221.267249	0	2	7	6
221.783525	0	2	12	1
227.048423	0	2	12	2
228.148692	0	2	12	3
228.714626	0	2	12	4
230.580381	0	2	12	5
231.596721	0	2	12	6
232.113177	0	2	9	1
250.622920	0	2	9	2
251.393177	0	2	9	3
251.989256	0	2	9	4
253.821650	0	2	9	5
254.838027	0	2	9	6
255.354359	0	2	3	1
258.869788	0	2	3	2
259.370008	0	2	3	3
260.052882	0	2	3	4
261.801980	0	2	3	5
262.818372	0	2	3	6
263.334863	0	2	4	1
267.599934	0	2	4	2
268.200157	0	2	4	3
268.849606	0	2	4	4
270.632020	0	2	4	5
271.648324	0	2	4	6
272.164888	0	2	14	1
279.178951	0	2	14	2
279.759200	0	2	14	3
280.461950	0	2	14	4
282.194387	0	2	14	5
283.210801	0	2	14	6
283.727238	0	2	13	1
296.739053	0	2	13	2
297.289302	0	2	13	3
297.888770	0	2	13	4
299.721163	0	2	13	5
300.737526	0	2	13	6
301.253891	0	2	15	1
310.767151	0	2	15	2
311.417368	0	2	15	3
311.950155	0	2	15	4
313.849187	0	2	15	5
314.865674	0	2	15	6
315.382045	0	2	2	1
322.396121	0	2	2	2
322.996361	0	2	2	3
323.529219	0	2	2	4
325.428250	0	2	2	5
326.444587	0	2	2	6
326.960876	0	2	6	1
336.474082	0	2	6	2
336.974276	0	2	6	3
337.640562	0	2	6	4
339.406314	0	2	6	5
340.422726	0	2	6	6
340.938962	0	2	5	1
353.951001	0	2	5	2
354.501270	0	2	5	3
355.050744	0	2	5	4
356.933120	0	2	5	5
357.949284	0	2	5	6
358.465887	0	2	11	1
362.731049	0	2	11	2
363.831328	0	2	11	3
364.513807	0	2	11	4
366.262905	0	2	11	5
367.279130	0	2	11	6
367.795742	0	2	8	1
370.811280	0	2	8	2
371.661559	0	2	8	3
372.394254	0	2	8	4
374.093368	0	2	8	5
375.109545	0	2	8	6
375.626101	0	2	16	1
379.141568	0	2	16	2
379.721812	0	2	16	3
380.341246	0	2	16	4
382.156981	0	2	16	5
383.173356	0	2	16	6
383.689666	0	2	10	1
402.199615	0	2	10	2
402.969900	0	2	10	3
403.899099	0	2	10	4
405.398299	0	2	10	5
406.414731	0	2	10	6
406.931178	0	2	1	1
412.195894	0	2	1	2
412.846183	0	2	1	3
413.312300	0	2	1	4
415.277971	0	2	1	5
416.294430	0	2	1	6
