onset	duration	partner (1=human,2=computer)	trial type	event type
5.031495	0	2	15	1
8.047067	0	2	15	2
9.147343	0	2	15	3
9.913247	0	2	15	4
11.579132	0	2	15	5
12.595422	0	2	15	6
13.111638	0	2	16	1
22.625033	0	2	16	2
23.475273	0	2	16	3
24.274437	0	2	16	4
25.906978	0	2	16	5
26.923485	0	2	16	6
27.439944	0	2	11	1
34.454067	0	2	11	2
35.224299	0	2	11	3
35.903708	0	2	11	4
37.652892	0	2	11	5
38.669191	0	2	11	6
39.185613	0	2	10	1
44.450422	0	2	10	2
45.100583	0	2	10	3
45.816541	0	2	10	4
47.532435	0	2	10	5
48.548890	0	2	10	6
49.065373	0	2	2	1
53.330480	0	2	2	2
53.830705	0	2	2	3
54.446926	0	2	2	4
56.262753	0	2	2	5
57.279062	0	2	2	6
57.795514	0	2	14	1
70.807453	0	2	14	2
71.387722	0	2	14	3
72.356860	0	2	14	4
73.822816	0	2	14	5
74.839303	0	2	14	6
75.355565	0	2	12	1
93.865698	0	2	12	2
94.415939	0	2	12	3
95.082084	0	2	12	4
96.847927	0	2	12	5
97.864009	0	2	12	6
98.380614	0	2	4	1
101.896049	0	2	4	2
102.496282	0	2	4	3
103.312214	0	2	4	4
104.928106	0	2	4	5
105.944660	0	2	4	6
106.461075	0	2	8	1
111.725831	0	2	8	2
112.496031	0	2	8	3
113.359215	0	2	8	4
114.924518	0	2	8	5
115.940955	0	2	8	6
116.457407	0	2	6	1
119.972772	0	2	6	2
120.472963	0	2	6	3
121.222482	0	2	6	4
122.905026	0	2	6	5
123.921376	0	2	6	6
124.437830	0	2	1	1
127.453418	0	2	1	2
128.053647	0	2	1	3
128.602971	0	2	1	4
130.485447	0	2	1	5
131.501907	0	2	1	6
132.018276	0	2	13	1
145.030324	0	2	13	2
145.680567	0	2	13	3
146.429978	0	2	13	4
148.112520	0	2	13	5
149.128799	0	2	13	6
149.645292	0	2	9	1
153.910378	0	2	9	2
154.490610	0	2	9	3
155.176778	0	2	9	4
156.925964	0	2	9	5
157.942270	0	2	9	6
158.458726	0	2	3	1
176.968627	0	2	3	2
178.068874	0	2	3	3
179.151333	0	2	3	4
180.500669	0	2	3	5
181.516993	0	2	3	6
182.033439	0	2	7	1
189.047556	0	2	7	2
189.597783	0	2	7	3
190.480550	0	2	7	4
192.029811	0	2	7	5
193.046114	0	2	7	6
193.562544	0	2	5	1
203.075772	0	2	5	2
203.926029	0	2	5	3
204.558740	0	2	5	4
206.357903	0	2	5	5
207.374217	0	2	5	6
213.905108	0	1	1	1
223.418304	0	1	1	2
223.918595	0	1	1	3
224.484777	0	1	1	4
226.350594	0	1	1	5
227.366897	0	1	1	6
227.883333	0	1	11	1
246.393281	0	1	11	2
247.163567	0	1	11	3
247.859580	0	1	11	4
249.592100	0	1	11	5
250.608403	0	1	11	6
251.124858	0	1	10	1
264.136776	0	1	10	2
264.716998	0	1	10	3
265.403191	0	1	10	4
267.152378	0	1	10	5
268.168434	0	1	10	6
268.685107	0	1	9	1
275.699214	0	1	9	2
276.549486	0	1	9	3
277.365465	0	1	9	4
278.981364	0	1	9	5
279.997631	0	1	9	6
280.514098	0	1	16	1
283.529499	0	1	16	2
284.079648	0	1	16	3
284.712743	0	1	16	4
286.511911	0	1	16	5
287.528254	0	1	16	6
288.044681	0	1	13	1
291.560107	0	1	13	2
292.160378	0	1	13	3
292.943100	0	1	13	4
294.592326	0	1	13	5
295.608643	0	1	13	6
296.125037	0	1	15	1
300.390213	0	1	15	2
301.490473	0	1	15	3
302.406286	0	1	15	4
303.922225	0	1	15	5
304.938549	0	1	15	6
305.455008	0	1	14	1
310.719780	0	1	14	2
311.370033	0	1	14	3
312.102747	0	1	14	4
313.801980	0	1	14	5
314.818049	0	1	14	6
315.334658	0	1	5	1
318.350318	0	1	5	2
319.120577	0	1	5	3
319.799956	0	1	5	4
321.549143	0	1	5	5
322.565454	0	1	5	6
323.081910	0	1	4	1
328.346460	0	1	4	2
328.946640	0	1	4	3
329.646322	0	1	4	4
331.378849	0	1	4	5
332.395177	0	1	4	6
332.911547	0	1	3	1
345.923571	0	1	3	2
347.023856	0	1	3	3
347.706215	0	1	3	4
349.455406	0	1	3	5
350.471882	0	1	3	6
350.988324	0	1	8	1
355.253468	0	1	8	2
355.833716	0	1	8	3
356.619817	0	1	8	4
358.269023	0	1	8	5
359.285360	0	1	8	6
359.801816	0	1	12	1
378.311738	0	1	12	2
378.811978	0	1	12	3
379.444852	0	1	12	4
381.244020	0	1	12	5
382.260329	0	1	12	6
382.776752	0	1	6	1
389.790828	0	1	6	2
390.441054	0	1	6	3
390.957278	0	1	6	4
392.873070	0	1	6	5
393.889374	0	1	6	6
394.405789	0	1	7	1
403.919036	0	1	7	2
404.469314	0	1	7	3
405.318543	0	1	7	4
406.901123	0	1	7	5
407.917578	0	1	7	6
408.434039	0	1	2	1
411.949447	0	1	2	2
412.799716	0	1	2	3
413.499047	0	1	2	4
415.231576	0	1	2	5
416.247837	0	1	2	6
