onset	duration	partner (1=human,2=computer)	trial type	event type
5.031362	0	2	5	1
23.541228	0	2	5	2
24.191498	0	2	5	3
26.040326	0	2	5	4
26.623277	0	2	5	5
27.639742	0	2	5	6
28.156169	0	2	2	1
31.171728	0	2	2	2
32.021965	0	2	2	3
33.604381	0	2	2	4
34.453906	0	2	2	5
35.470141	0	2	2	6
35.986592	0	2	8	1
48.998461	0	2	8	2
50.098705	0	2	8	3
51.764332	0	2	8	4
52.530555	0	2	8	5
53.546558	0	2	8	6
54.063114	0	2	16	1
63.576434	0	2	16	2
64.126673	0	2	16	3
65.859044	0	2	16	4
66.558620	0	2	16	5
67.574885	0	2	16	6
68.091395	0	2	12	1
75.105454	0	2	12	2
75.605656	0	2	12	3
76.555138	0	2	12	4
78.037774	0	2	12	5
79.054011	0	2	12	6
79.570445	0	2	7	1
83.835574	0	2	7	2
84.435811	0	2	7	3
86.018258	0	2	7	4
86.867783	0	2	7	5
87.884067	0	2	7	6
88.400510	0	2	3	1
93.665229	0	2	3	2
94.435471	0	2	3	3
96.114532	0	2	3	4
96.864095	0	2	3	5
97.880342	0	2	3	6
98.396581	0	2	9	1
101.912186	0	2	9	2
102.492386	0	2	9	3
103.928319	0	2	9	4
104.927791	0	2	9	5
105.944018	0	2	9	6
106.460493	0	2	11	1
109.975841	0	2	11	2
111.076092	0	2	11	3
112.358500	0	2	11	4
113.507919	0	2	11	5
114.524200	0	2	11	6
115.040421	0	2	15	1
120.305341	0	2	15	2
120.955553	0	2	15	3
122.604706	0	2	15	4
123.387589	0	2	15	5
124.403620	0	2	15	6
124.920297	0	2	14	1
127.935870	0	2	14	2
128.536104	0	2	14	3
130.001973	0	2	14	4
130.968125	0	2	14	5
131.984375	0	2	14	6
132.500829	0	2	10	1
142.014013	0	2	10	2
142.514223	0	2	10	3
144.280003	0	2	10	4
144.946281	0	2	10	5
145.962521	0	2	10	6
146.478965	0	2	1	1
153.493057	0	2	1	2
154.343311	0	2	1	3
155.559129	0	2	1	4
156.775191	0	2	1	5
157.791268	0	2	1	6
158.307858	0	2	4	1
176.817778	0	2	4	2
177.367991	0	2	4	3
178.567104	0	2	4	4
179.799828	0	2	4	5
180.816272	0	2	4	6
181.332761	0	2	6	1
194.344593	0	2	6	2
195.114844	0	2	6	3
196.593962	0	2	6	4
197.543453	0	2	6	5
198.559689	0	2	6	6
199.076156	0	2	13	1
203.341250	0	2	13	2
203.921468	0	2	13	3
205.773868	0	2	13	4
206.356822	0	2	13	5
207.373088	0	2	13	6
213.903993	0	1	1	1
226.915799	0	1	1	2
227.686067	0	1	1	3
228.648749	0	1	1	4
230.114713	0	1	1	5
231.130971	0	1	1	6
231.647405	0	1	3	1
238.661491	0	1	3	2
239.261739	0	1	3	3
240.927490	0	1	3	4
241.693707	0	1	3	5
242.710018	0	1	3	6
243.226433	0	1	9	1
248.491196	0	1	9	2
249.591463	0	1	9	3
251.040481	0	1	9	4
252.023294	0	1	9	5
253.039394	0	1	9	6
253.555961	0	1	8	1
263.069123	0	1	8	2
263.619374	0	1	8	3
265.435113	0	1	8	4
266.051389	0	1	8	5
267.067654	0	1	8	6
267.584093	0	1	11	1
271.099233	0	1	11	2
271.679413	0	1	11	3
272.698977	0	1	11	4
274.114963	0	1	11	5
275.131314	0	1	11	6
275.647785	0	1	16	1
279.912888	0	1	16	2
280.413122	0	1	16	3
282.178698	0	1	16	4
282.844955	0	1	16	5
283.861374	0	1	16	6
284.377827	0	1	12	1
287.393312	0	1	12	2
288.043498	0	1	12	3
289.925982	0	1	12	4
290.475613	0	1	12	5
291.491875	0	1	12	6
292.008350	0	1	13	1
310.518179	0	1	13	2
311.368451	0	1	13	3
313.350656	0	1	13	4
313.800324	0	1	13	5
314.816634	0	1	13	6
315.333056	0	1	15	1
322.347137	0	1	15	2
322.997413	0	1	15	3
324.812986	0	1	15	4
325.429262	0	1	15	5
326.445596	0	1	15	6
326.961874	0	1	10	1
332.226800	0	1	10	2
332.997042	0	1	10	3
334.459504	0	1	10	4
335.425655	0	1	10	5
336.441913	0	1	10	6
336.958382	0	1	4	1
340.473761	0	1	4	2
341.024006	0	1	4	3
342.739813	0	1	4	4
343.456055	0	1	4	5
344.472299	0	1	4	6
344.988533	0	1	6	1
358.000613	0	1	6	2
358.850882	0	1	6	3
360.483168	0	1	6	4
361.282713	0	1	6	5
362.298780	0	1	6	6
362.815369	0	1	2	1
367.080528	0	1	2	2
367.680764	0	1	2	3
369.013164	0	1	2	4
370.112604	0	1	2	5
371.129034	0	1	2	6
371.645477	0	1	7	1
390.155330	0	1	7	2
391.255636	0	1	7	3
393.071111	0	1	7	4
393.687387	0	1	7	5
394.703681	0	1	7	6
395.220089	0	1	14	1
404.733267	0	1	14	2
405.233543	0	1	14	3
407.032596	0	1	14	4
407.665531	0	1	14	5
408.681826	0	1	14	6
409.198265	0	1	5	1
412.213801	0	1	5	2
412.794032	0	1	5	3
414.629795	0	1	5	4
415.229479	0	1	5	5
416.245640	0	1	5	6
