onset	duration	partner (1=human,2=computer)	trial type	event type
5.031465	0	1	2	1
8.047013	0	1	2	2
8.647260	0	1	2	3
9.113492	0	1	2	4
11.079259	0	1	2	5
12.095563	0	1	2	6
12.612004	0	1	6	1
16.876910	0	1	6	2
17.457047	0	1	6	3
18.293308	0	1	6	4
19.892477	0	1	6	5
20.908994	0	1	6	6
21.425416	0	1	7	1
34.437382	0	1	7	2
35.207611	0	1	7	3
36.186898	0	1	7	4
37.636190	0	1	7	5
38.652491	0	1	7	6
39.168743	0	1	13	1
46.183071	0	1	13	2
46.833312	0	1	13	3
47.899237	0	1	13	4
49.265228	0	1	13	5
50.281618	0	1	13	6
50.798027	0	1	8	1
60.311178	0	1	8	2
61.161419	0	1	8	3
62.327338	0	1	8	4
63.593366	0	1	8	5
64.609661	0	1	8	6
65.126080	0	1	4	1
83.636033	0	1	4	2
84.736277	0	1	4	3
85.652105	0	1	4	4
87.168040	0	1	4	5
88.184369	0	1	4	6
88.700790	0	1	11	1
93.965591	0	1	11	2
94.465799	0	1	11	3
95.531850	0	1	11	4
96.897840	0	1	11	5
97.914143	0	1	11	6
98.430606	0	1	12	1
101.945973	0	1	12	2
102.496179	0	1	12	3
103.412285	0	1	12	4
104.928220	0	1	12	5
105.944533	0	1	12	6
106.460993	0	1	15	1
110.726065	0	1	15	2
111.326293	0	1	15	3
112.159039	0	1	15	4
113.758273	0	1	15	5
114.774618	0	1	15	6
115.291104	0	1	1	1
118.306440	0	1	1	2
119.406629	0	1	1	3
120.289392	0	1	1	4
121.838643	0	1	1	5
122.855009	0	1	1	6
123.371477	0	1	16	1
130.385584	0	1	16	2
130.935829	0	1	16	3
131.901868	0	1	16	4
133.367819	0	1	16	5
134.383996	0	1	16	6
134.900590	0	1	10	1
138.415962	0	1	10	2
139.066226	0	1	10	3
139.932263	0	1	10	4
141.498180	0	1	10	5
142.514358	0	1	10	6
143.030905	0	1	3	1
148.295712	0	1	3	2
149.145968	0	1	3	3
150.245152	0	1	3	4
151.577822	0	1	3	5
152.593910	0	1	3	6
153.110551	0	1	14	1
171.620525	0	1	14	2
172.390766	0	1	14	3
173.653270	0	1	14	4
174.819333	0	1	14	5
175.835651	0	1	14	6
176.352085	0	1	5	1
185.865100	0	1	5	2
186.445266	0	1	5	3
188.081108	0	1	5	4
188.880637	0	1	5	5
189.897150	0	1	5	6
190.413610	0	1	9	1
203.425533	0	1	9	2
203.925777	0	1	9	3
204.941815	0	1	9	4
206.357788	0	1	9	5
207.373865	0	1	9	6
213.905021	0	2	1	1
219.169750	0	2	1	2
220.270069	0	2	1	3
220.819342	0	2	1	4
222.701807	0	2	1	5
223.718106	0	2	1	6
224.234353	0	2	14	1
233.747773	0	2	14	2
234.298024	0	2	14	3
235.447103	0	2	14	4
236.729799	0	2	14	5
237.746316	0	2	14	6
238.262768	0	2	16	1
241.278326	0	2	16	2
241.858588	0	2	16	3
242.644472	0	2	16	4
244.293699	0	2	16	5
245.310209	0	2	16	6
245.826668	0	2	8	1
252.840777	0	2	8	2
253.491010	0	2	8	3
254.373718	0	2	8	4
255.922974	0	2	8	5
256.939285	0	2	8	6
257.455739	0	2	6	1
270.467676	0	2	6	2
270.967901	0	2	6	3
272.183844	0	2	6	4
273.399889	0	2	6	5
274.416201	0	2	6	6
274.932466	0	2	12	1
293.442585	0	2	12	2
294.212868	0	2	12	3
295.025513	0	2	12	4
296.641411	0	2	12	5
297.657716	0	2	12	6
298.174176	0	2	3	1
302.439302	0	2	3	2
303.289563	0	2	3	3
304.138835	0	2	3	4
305.721413	0	2	3	5
306.737735	0	2	3	6
307.254192	0	2	4	1
310.769588	0	2	4	2
311.369846	0	2	4	3
312.352525	0	2	4	4
313.801807	0	2	4	5
314.818082	0	2	4	6
315.334576	0	2	9	1
318.849969	0	2	9	2
319.450233	0	2	9	3
320.266291	0	2	9	4
321.882175	0	2	9	5
322.898483	0	2	9	6
323.414736	0	2	15	1
341.924856	0	2	15	2
342.775096	0	2	15	3
344.057587	0	2	15	4
345.206993	0	2	15	5
346.223282	0	2	15	6
346.739738	0	2	7	1
359.751670	0	2	7	2
360.331937	0	2	7	3
361.384446	0	2	7	4
362.767098	0	2	7	5
363.783520	0	2	7	6
364.299924	0	2	2	1
367.315538	0	2	2	2
368.085808	0	2	2	3
368.665236	0	2	2	4
370.514378	0	2	2	5
371.530712	0	2	2	6
372.047149	0	2	10	1
381.560352	0	2	10	2
382.060621	0	2	10	3
383.509799	0	2	10	4
384.492601	0	2	10	5
385.508911	0	2	10	6
386.025369	0	2	11	1
391.290127	0	2	11	2
392.390404	0	2	11	3
393.689385	0	2	11	4
394.822130	0	2	11	5
395.838463	0	2	11	6
396.354920	0	2	5	1
403.369039	0	2	5	2
404.019334	0	2	5	3
404.785357	0	2	5	4
406.451232	0	2	5	5
407.467546	0	2	5	6
407.983761	0	2	13	1
412.249123	0	2	13	2
412.799404	0	2	13	3
413.848705	0	2	13	4
415.231356	0	2	13	5
416.247660	0	2	13	6
