onset	duration	partner (1=human,2=computer)	trial type	event type
5.033153	0	1	11	1
23.549210	0	1	11	2
24.199466	0	1	11	3
25.115992	0	1	11	4
26.632438	0	1	11	5
27.649051	0	1	11	6
28.165648	0	1	15	1
41.181908	0	1	15	2
41.732138	0	1	15	3
43.332029	0	1	15	4
44.165164	0	1	15	5
45.181769	0	1	15	6
45.698393	0	1	9	1
49.214923	0	1	9	2
49.985134	0	1	9	3
51.331720	0	1	9	4
52.414944	0	1	9	5
53.431496	0	1	9	6
53.948154	0	1	3	1
56.964696	0	1	3	2
57.814916	0	1	3	3
59.014792	0	1	3	4
60.247912	0	1	3	5
61.264554	0	1	3	6
61.781005	0	1	1	1
67.047700	0	1	1	2
67.547935	0	1	1	3
68.564482	0	1	1	4
69.980929	0	1	1	5
70.997532	0	1	1	6
71.514192	0	1	2	1
81.030555	0	1	2	2
81.630761	0	1	2	3
82.497283	0	1	2	4
84.063727	0	1	2	5
85.080410	0	1	2	6
85.597117	0	1	14	1
89.863509	0	1	14	2
90.443725	0	1	14	3
91.380193	0	1	14	4
92.879956	0	1	14	5
93.896744	0	1	14	6
94.413395	0	1	5	1
101.429846	0	1	5	2
102.530087	0	1	5	3
103.563270	0	1	5	4
104.963051	0	1	5	5
105.979682	0	1	5	6
106.496320	0	1	16	1
110.012889	0	1	16	2
110.613122	0	1	16	3
111.396318	0	1	16	4
113.046088	0	1	16	5
114.062742	0	1	16	6
114.579200	0	1	10	1
124.095710	0	1	10	2
124.945946	0	1	10	3
126.345804	0	1	10	4
127.378933	0	1	10	5
128.395581	0	1	10	6
128.912234	0	1	7	1
141.928483	0	1	7	2
143.028749	0	1	7	3
144.211888	0	1	7	4
145.461665	0	1	7	5
146.478298	0	1	7	6
146.994902	0	1	8	1
165.510973	0	1	8	2
166.281218	0	1	8	3
167.427779	0	1	8	4
168.710884	0	1	8	5
169.727506	0	1	8	6
170.244155	0	1	12	1
173.260540	0	1	12	2
173.840683	0	1	12	3
174.543999	0	1	12	4
176.277107	0	1	12	5
177.293910	0	1	12	6
177.810549	0	1	13	1
184.827001	0	1	13	2
185.377238	0	1	13	3
186.243786	0	1	13	4
187.810228	0	1	13	5
188.826733	0	1	13	6
189.343473	0	1	6	1
194.609982	0	1	6	2
195.260195	0	1	6	3
196.726743	0	1	6	4
197.693204	0	1	6	5
198.709849	0	1	6	6
199.226442	0	1	4	1
203.493010	0	1	4	2
203.993256	0	1	4	3
204.959620	0	1	4	4
206.426086	0	1	4	5
207.442875	0	1	4	6
213.975840	0	2	8	1
218.242529	0	2	8	2
219.342847	0	2	8	3
221.309238	0	2	8	4
221.775720	0	2	8	5
222.792358	0	2	8	6
223.309004	0	2	4	1
226.825559	0	2	4	2
227.595802	0	2	4	3
228.575682	0	2	4	4
230.025462	0	2	4	5
231.042041	0	2	4	6
231.558730	0	2	14	1
244.574851	0	2	14	2
245.155064	0	2	14	3
246.591623	0	2	14	4
247.591421	0	2	14	5
248.608135	0	2	14	6
249.124769	0	2	9	1
254.391268	0	2	9	2
254.991485	0	2	9	3
256.191204	0	2	9	4
257.424321	0	2	9	5
258.441115	0	2	9	6
258.957760	0	2	15	1
277.473836	0	2	15	2
278.324104	0	2	15	3
280.123910	0	2	15	4
280.757053	0	2	15	5
281.773637	0	2	15	6
282.290317	0	2	13	1
289.306745	0	2	13	2
289.806976	0	2	13	3
290.973535	0	2	13	4
292.239971	0	2	13	5
293.256405	0	2	13	6
293.773197	0	2	11	1
296.789819	0	2	11	2
297.440069	0	2	11	3
298.339781	0	2	11	4
299.872892	0	2	11	5
300.889682	0	2	11	6
301.406316	0	2	1	1
310.922670	0	2	1	2
311.472943	0	2	1	3
312.789442	0	2	1	4
313.905902	0	2	1	5
314.922537	0	2	1	6
315.439164	0	2	10	1
328.455426	0	2	10	2
329.305690	0	2	10	3
330.522195	0	2	10	4
331.738649	0	2	10	5
332.755259	0	2	10	6
333.271912	0	2	16	1
336.288492	0	2	16	2
336.788717	0	2	16	3
338.488617	0	2	16	4
339.221712	0	2	16	5
340.238155	0	2	16	6
340.754898	0	2	12	1
350.271299	0	2	12	2
351.371581	0	2	12	3
352.004776	0	2	12	4
353.804540	0	2	12	5
354.821175	0	2	12	6
355.337797	0	2	2	1
359.604344	0	2	2	2
360.254606	0	2	2	3
361.021129	0	2	2	4
362.687565	0	2	2	5
363.704158	0	2	2	6
364.220807	0	2	6	1
382.736912	0	2	6	2
383.317164	0	2	6	3
384.820345	0	2	6	4
385.753476	0	2	6	5
386.770084	0	2	6	6
387.286715	0	2	7	1
390.803270	0	2	7	2
391.353517	0	2	7	3
392.970024	0	2	7	4
393.786493	0	2	7	5
394.802967	0	2	7	6
395.319766	0	2	3	1
402.336042	0	2	3	2
403.106216	0	2	3	3
404.419582	0	2	3	4
405.536039	0	2	3	5
406.552734	0	2	3	6
407.069365	0	2	5	1
412.335869	0	2	5	2
412.936109	0	2	5	3
413.802651	0	2	5	4
415.369091	0	2	5	5
416.385731	0	2	5	6
