onset	duration	partner (1=human,2=computer)	trial type	event type
5.031410	0	2	13	1
8.046964	0	2	13	2
9.147213	0	2	13	3
10.063182	0	2	13	4
11.579137	0	2	13	5
12.595378	0	2	13	6
13.111620	0	2	5	1
26.123792	0	2	5	2
26.674006	0	2	5	3
27.673418	0	2	5	4
29.106067	0	2	5	5
30.122130	0	2	5	6
30.638724	0	2	15	1
40.152040	0	2	15	2
40.752275	0	2	15	3
42.168126	0	2	15	4
43.184257	0	2	15	5
44.200574	0	2	15	6
44.717036	0	2	8	1
48.982180	0	2	8	2
49.482413	0	2	8	3
50.298524	0	2	8	4
51.914440	0	2	8	5
52.930745	0	2	8	6
53.447200	0	2	14	1
58.711761	0	2	14	2
59.481904	0	2	14	3
60.411534	0	2	14	4
61.910822	0	2	14	5
62.927089	0	2	14	6
63.443578	0	2	9	1
66.958996	0	2	9	2
67.539215	0	2	9	3
68.475269	0	2	9	4
69.974559	0	2	9	5
70.990826	0	2	9	6
71.507342	0	2	3	1
90.017313	0	2	3	2
90.867575	0	2	3	3
91.483574	0	2	3	4
93.299418	0	2	3	5
94.315692	0	2	3	6
94.831984	0	2	1	1
101.846328	0	2	1	2
102.496539	0	2	1	3
103.212467	0	2	1	4
104.928346	0	2	1	5
105.944804	0	2	1	6
106.461255	0	2	7	1
110.726418	0	2	7	2
111.576664	0	2	7	3
112.925798	0	2	7	4
114.008572	0	2	7	5
115.024848	0	2	7	6
115.541320	0	2	4	1
119.056704	0	2	4	2
119.606951	0	2	4	3
120.689670	0	2	4	4
122.039011	0	2	4	5
123.055285	0	2	4	6
123.571563	0	2	11	1
128.836514	0	2	11	2
129.336719	0	2	11	3
130.169856	0	2	11	4
131.768779	0	2	11	5
132.785092	0	2	11	6
133.301546	0	2	2	1
142.814783	0	2	2	2
143.394984	0	2	2	3
144.164489	0	2	2	4
145.830384	0	2	2	5
146.846664	0	2	2	6
147.362883	0	2	16	1
150.378711	0	2	16	2
151.478969	0	2	16	3
152.311519	0	2	16	4
153.910776	0	2	16	5
154.926941	0	2	16	6
155.443486	0	2	12	1
162.457575	0	2	12	2
163.107795	0	2	12	3
163.973925	0	2	12	4
165.539859	0	2	12	5
166.556167	0	2	12	6
167.072421	0	2	6	1
180.084599	0	2	6	2
180.854861	0	2	6	3
181.917417	0	2	6	4
183.283423	0	2	6	5
184.299731	0	2	6	6
184.816199	0	2	10	1
203.326168	0	2	10	2
203.926394	0	2	10	3
205.442232	0	2	10	4
206.358399	0	2	10	5
207.374698	0	2	10	6
213.905518	0	1	3	1
217.421001	0	1	3	2
218.271309	0	1	3	3
219.137246	0	1	3	4
220.703179	0	1	3	5
221.719428	0	1	3	6
222.235917	0	1	11	1
240.745897	0	1	11	2
241.396160	0	1	11	3
242.278825	0	1	11	4
243.828097	0	1	11	5
244.844362	0	1	11	6
245.360851	0	1	15	1
249.625987	0	1	15	2
250.396249	0	1	15	3
251.392024	0	1	15	4
252.824672	0	1	15	5
253.841151	0	1	15	6
254.357577	0	1	10	1
267.369570	0	1	10	2
267.969849	0	1	10	3
268.902554	0	1	10	4
270.401843	0	1	10	5
271.418054	0	1	10	6
271.934535	0	1	14	1
281.447787	0	1	14	2
281.998008	0	1	14	3
282.980715	0	1	14	4
284.430023	0	1	14	5
285.446317	0	1	14	6
285.962782	0	1	2	1
292.976911	0	1	2	2
294.077180	0	1	2	3
295.442854	0	1	2	4
296.508943	0	1	2	5
297.525307	0	1	2	6
298.041758	0	1	13	1
301.057352	0	1	13	2
301.637631	0	1	13	3
302.973503	0	1	13	4
304.072937	0	1	13	5
305.089221	0	1	13	6
305.605682	0	1	8	1
310.870462	0	1	8	2
311.370697	0	1	8	3
312.320105	0	1	8	4
313.802734	0	1	8	5
314.818796	0	1	8	6
315.335485	0	1	7	1
319.600607	0	1	7	2
320.150890	0	1	7	3
321.050288	0	1	7	4
322.582885	0	1	7	5
323.599164	0	1	7	6
324.115631	0	1	9	1
331.129772	0	1	9	2
331.630038	0	1	9	3
332.862653	0	1	9	4
334.062052	0	1	9	5
335.078302	0	1	9	6
335.594766	0	1	16	1
348.606729	0	1	16	2
349.457011	0	1	16	3
350.306280	0	1	16	4
351.888875	0	1	16	5
352.905172	0	1	16	6
353.421625	0	1	12	1
362.934879	0	1	12	2
363.585161	0	1	12	3
364.901017	0	1	12	4
366.017156	0	1	12	5
367.033376	0	1	12	6
367.549829	0	1	1	1
370.565349	0	1	1	2
371.665594	0	1	1	3
372.498242	0	1	1	4
374.097497	0	1	1	5
375.113764	0	1	1	6
375.630050	0	1	6	1
394.140211	0	1	6	2
394.740460	0	1	6	3
396.039675	0	1	6	4
397.172433	0	1	6	5
398.188541	0	1	6	6
398.705128	0	1	5	1
403.969960	0	1	5	2
404.550243	0	1	5	3
405.619547	0	1	5	4
406.985553	0	1	5	5
408.001828	0	1	5	6
408.518296	0	1	4	1
412.033788	0	1	4	2
412.804065	0	1	4	3
413.666639	0	1	4	4
415.232570	0	1	4	5
416.248888	0	1	4	6
