onset	duration	partner (1=human,2=computer)	trial type	event type
5.031529	0	2	2	1
23.541582	0	2	2	2
24.191797	0	2	2	3
25.041205	0	2	2	4
26.623799	0	2	2	5
27.640115	0	2	2	6
28.156564	0	2	5	1
41.168568	0	2	5	2
42.018806	0	2	5	3
42.718012	0	2	5	4
44.450558	0	2	5	5
45.467018	0	2	5	6
45.983540	0	2	8	1
55.496769	0	2	8	2
56.046964	0	2	8	3
56.863103	0	2	8	4
58.479015	0	2	8	5
59.495147	0	2	8	6
60.011696	0	2	14	1
64.276956	0	2	14	2
65.047199	0	2	14	3
65.959855	0	2	14	4
67.475804	0	2	14	5
68.491939	0	2	14	6
69.008579	0	2	6	1
72.524014	0	2	6	2
73.624247	0	2	6	3
75.173194	0	2	6	4
76.056041	0	2	6	5
77.072195	0	2	6	6
77.588838	0	2	12	1
80.604451	0	2	12	2
81.184697	0	2	12	3
82.087420	0	2	12	4
83.620026	0	2	12	5
84.636372	0	2	12	6
85.152834	0	2	10	1
90.417669	0	2	10	2
90.917892	0	2	10	3
91.700473	0	2	10	4
93.349732	0	2	10	5
94.366239	0	2	10	6
94.882698	0	2	4	1
101.896865	0	2	4	2
102.497102	0	2	4	3
103.196358	0	2	4	4
104.928898	0	2	4	5
105.945414	0	2	4	6
106.461853	0	2	7	1
115.975158	0	2	7	2
116.575385	0	2	7	3
117.474785	0	2	7	4
119.007395	0	2	7	5
120.023678	0	2	7	6
120.540137	0	2	13	1
124.805305	0	2	13	2
125.905573	0	2	13	3
126.721485	0	2	13	4
128.337395	0	2	13	5
129.353754	0	2	13	6
129.870150	0	2	1	1
136.884355	0	2	1	2
137.734594	0	2	1	3
138.500588	0	2	1	4
140.166480	0	2	1	5
141.182589	0	2	1	6
141.699279	0	2	11	1
154.711280	0	2	11	2
155.481531	0	2	11	3
155.494991	0	2	11	4
157.910157	0	2	11	5
158.926411	0	2	11	6
159.442892	0	2	15	1
164.707675	0	2	15	2
165.207888	0	2	15	3
166.090701	0	2	15	4
167.639971	0	2	15	5
168.656310	0	2	15	6
169.172565	0	2	3	1
172.188381	0	2	3	2
172.768589	0	2	3	3
173.937922	0	2	3	4
175.203961	0	2	3	5
176.220151	0	2	3	6
176.736684	0	2	16	1
195.246809	0	2	16	2
195.897076	0	2	16	3
196.679765	0	2	16	4
198.328999	0	2	16	5
199.345305	0	2	16	6
199.861600	0	2	9	1
203.377162	0	2	9	2
203.927391	0	2	9	3
204.976621	0	2	9	4
206.359295	0	2	9	5
207.375790	0	2	9	6
213.906691	0	1	12	1
218.171923	0	1	12	2
218.822212	0	1	12	3
219.604907	0	1	12	4
221.254141	0	1	12	5
222.270400	0	1	12	6
222.786859	0	1	8	1
228.051693	0	1	8	2
228.601939	0	1	8	3
229.351862	0	1	8	4
231.033953	0	1	8	5
232.050060	0	1	8	6
232.566733	0	1	3	1
235.582425	0	1	3	2
236.182641	0	1	3	3
237.348547	0	1	3	4
238.614586	0	1	3	5
239.630902	0	1	3	6
240.147362	0	1	2	1
249.660460	0	1	2	2
250.430627	0	1	2	3
251.493459	0	1	2	4
252.859461	0	1	2	5
253.875791	0	1	2	6
254.392276	0	1	14	1
261.406452	0	1	14	2
262.256720	0	1	14	3
263.072644	0	1	14	4
264.688556	0	1	14	5
265.704891	0	1	14	6
266.221186	0	1	15	1
284.731423	0	1	15	2
285.831708	0	1	15	3
286.697625	0	1	15	4
288.263555	0	1	15	5
289.279820	0	1	15	6
289.796118	0	1	10	1
293.311496	0	1	10	2
293.891668	0	1	10	3
294.694511	0	1	10	4
296.327107	0	1	10	5
297.343580	0	1	10	6
297.860072	0	1	6	1
310.872104	0	1	6	2
311.372350	0	1	6	3
312.321752	0	1	6	4
313.804382	0	1	6	5
314.820461	0	1	6	6
315.337081	0	1	5	1
333.847174	0	1	5	2
334.397464	0	1	5	3
335.080245	0	1	5	4
336.829437	0	1	5	5
337.845786	0	1	5	6
338.362241	0	1	4	1
341.877676	0	1	4	2
342.647906	0	1	4	3
343.510593	0	1	4	4
345.076521	0	1	4	5
346.092805	0	1	4	6
346.609274	0	1	13	1
353.623464	0	1	13	2
354.203720	0	1	13	3
355.006453	0	1	13	4
356.639025	0	1	13	5
357.655367	0	1	13	6
358.171614	0	1	1	1
363.436624	0	1	1	2
364.286880	0	1	1	3
364.952793	0	1	1	4
366.718648	0	1	1	5
367.735034	0	1	1	6
368.251340	0	1	9	1
381.263550	0	1	9	2
381.913831	0	1	9	3
382.563087	0	1	9	4
384.345617	0	1	9	5
385.362147	0	1	9	6
385.878530	0	1	16	1
395.391863	0	1	16	2
396.492135	0	1	16	3
397.258034	0	1	16	4
398.923928	0	1	16	5
399.940238	0	1	16	6
400.456662	0	1	7	1
404.721825	0	1	7	2
405.222063	0	1	7	3
405.954891	0	1	7	4
407.654103	0	1	7	5
408.670443	0	1	7	6
409.186900	0	1	11	1
412.202472	0	1	11	2
412.802736	0	1	11	3
413.635501	0	1	11	4
415.234755	0	1	11	5
416.250845	0	1	11	6
