onset	duration	partner (1=human,2=computer)	trial type	event type
5.031333	0	2	5	1
10.296313	0	2	5	2
11.066579	0	2	5	3
11.862609	0	2	5	4
13.495222	0	2	5	5
14.511480	0	2	5	6
15.027707	0	2	4	1
18.043500	0	2	4	2
18.543741	0	2	4	3
19.293263	0	2	4	4
20.975855	0	2	4	5
21.992125	0	2	4	6
22.508632	0	2	11	1
35.520623	0	2	11	2
36.370837	0	2	11	3
37.036927	0	2	11	4
38.802822	0	2	11	5
39.819058	0	2	11	6
40.335553	0	2	16	1
43.850958	0	2	16	2
44.951190	0	2	16	3
45.750463	0	2	16	4
47.383071	0	2	16	5
48.399320	0	2	16	6
48.915796	0	2	3	1
58.429142	0	2	3	2
59.029358	0	2	3	3
59.762116	0	2	3	4
61.461370	0	2	3	5
62.477614	0	2	3	6
62.994077	0	2	14	1
81.504161	0	2	14	2
82.054403	0	2	14	3
82.987123	0	2	14	4
84.486443	0	2	14	5
85.502694	0	2	14	6
86.019188	0	2	15	1
93.033337	0	2	15	2
93.683582	0	2	15	3
94.766259	0	2	15	4
96.115628	0	2	15	5
97.131878	0	2	15	6
97.648341	0	2	13	1
101.913504	0	2	13	2
102.493761	0	2	13	3
102.979968	0	2	13	4
104.929139	0	2	13	5
105.945388	0	2	13	6
106.461854	0	2	8	1
110.727021	0	2	8	2
111.277278	0	2	8	3
111.793471	0	2	8	4
113.709320	0	2	8	5
114.725576	0	2	8	6
115.242038	0	2	9	1
118.257650	0	2	9	2
119.027898	0	2	9	3
119.557365	0	2	9	4
121.456549	0	2	9	5
122.472803	0	2	9	6
122.989268	0	2	12	1
136.001319	0	2	12	2
136.581528	0	2	12	3
137.367658	0	2	12	4
139.016927	0	2	12	5
140.033184	0	2	12	6
140.549653	0	2	1	1
145.814466	0	2	1	2
146.414730	0	2	1	3
146.980887	0	2	1	4
148.846752	0	2	1	5
149.862996	0	2	1	6
150.379466	0	2	6	1
153.894887	0	2	6	2
154.395152	0	2	6	3
155.194619	0	2	6	4
156.827230	0	2	6	5
157.843448	0	2	6	6
158.359937	0	2	10	1
167.873217	0	2	10	2
168.723482	0	2	10	3
169.406183	0	2	10	4
171.155421	0	2	10	5
172.171676	0	2	10	6
172.688149	0	2	7	1
191.198162	0	2	7	2
191.848385	0	2	7	3
192.547894	0	2	7	4
194.280467	0	2	7	5
195.296703	0	2	7	6
195.813197	0	2	2	1
202.827391	0	2	2	2
203.927653	0	2	2	3
204.710686	0	2	2	4
206.359489	0	2	2	5
207.375737	0	2	2	6
213.906728	0	1	9	1
220.920904	0	1	9	2
221.421163	0	1	9	3
222.020677	0	1	9	4
223.853219	0	1	9	5
224.869481	0	1	9	6
225.385998	0	1	12	1
228.401566	0	1	12	2
229.501840	0	1	12	3
230.117797	0	1	12	4
231.933675	0	1	12	5
232.949877	0	1	12	6
233.466386	0	1	1	1
251.976460	0	1	1	2
252.526703	0	1	1	3
253.259494	0	1	1	4
254.958747	0	1	1	5
255.975005	0	1	1	6
256.491462	0	1	14	1
269.503494	0	1	14	2
270.103745	0	1	14	3
270.720285	0	1	14	4
272.535791	0	1	14	5
273.552045	0	1	14	6
274.068502	0	1	3	1
279.333278	0	1	3	2
279.983512	0	1	3	3
280.466422	0	1	3	4
282.415589	0	1	3	5
283.431841	0	1	3	6
283.948315	0	1	5	1
287.463738	0	1	5	2
288.233983	0	1	5	3
289.146669	0	1	5	4
290.662651	0	1	5	5
291.678884	0	1	5	6
292.195344	0	1	8	1
296.460524	0	1	8	2
297.040803	0	1	8	3
297.593520	0	1	8	4
299.476044	0	1	8	5
300.492392	0	1	8	6
301.008841	0	1	4	1
310.522147	0	1	4	2
311.372421	0	1	4	3
312.438314	0	1	4	4
313.804347	0	1	4	5
314.820597	0	1	4	6
315.337068	0	1	10	1
319.602218	0	1	10	2
320.372484	0	1	10	3
321.618361	0	1	10	4
322.801124	0	1	10	5
323.817377	0	1	10	6
324.333634	0	1	6	1
327.849292	0	1	6	2
328.499553	0	1	6	3
329.065702	0	1	6	4
330.931566	0	1	6	5
331.947803	0	1	6	6
332.464162	0	1	2	1
339.478462	0	1	2	2
340.578740	0	1	2	3
341.494577	0	1	2	4
343.010558	0	1	2	5
344.026792	0	1	2	6
344.543275	0	1	16	1
363.053341	0	1	16	2
363.633648	0	1	16	3
364.486341	0	1	16	4
366.068966	0	1	16	5
367.085219	0	1	16	6
367.601688	0	1	13	1
372.866457	0	1	13	2
373.716734	0	1	13	3
374.249497	0	1	13	4
376.148685	0	1	13	5
377.164976	0	1	13	6
377.681496	0	1	15	1
387.194691	0	1	15	2
387.694932	0	1	15	3
388.411098	0	1	15	4
390.127011	0	1	15	5
391.143260	0	1	15	6
391.659759	0	1	11	1
394.675361	0	1	11	2
395.225627	0	1	11	3
396.008378	0	1	11	4
397.657649	0	1	11	5
398.673910	0	1	11	6
399.190378	0	1	7	1
412.202416	0	1	7	2
412.802701	0	1	7	3
413.768689	0	1	7	4
415.234687	0	1	7	5
416.250942	0	1	7	6
