onset	duration	partner (1=human,2=computer)	trial type	event type
5.064600	0	1	16	1
8.113515	0	1	16	2
8.713711	0	1	16	3
10.029909	0	1	16	4
11.150572	0	1	16	5
12.162300	0	1	16	6
12.678519	0	1	12	1
17.943548	0	1	12	2
18.523737	0	1	12	3
19.076674	0	1	12	4
20.959149	0	1	12	5
21.975412	0	1	12	6
22.491899	0	1	2	1
29.506073	0	1	2	2
30.156313	0	1	2	3
30.789113	0	1	2	4
32.588291	0	1	2	5
33.604601	0	1	2	6
34.121003	0	1	10	1
37.636493	0	1	10	2
38.186728	0	1	10	3
39.535980	0	1	10	4
40.618748	0	1	10	5
41.635064	0	1	10	6
42.151519	0	1	15	1
46.416480	0	1	15	2
47.186623	0	1	15	3
48.166223	0	1	15	4
49.615528	0	1	15	5
50.631818	0	1	15	6
51.148266	0	1	7	1
69.658364	0	1	7	2
70.158617	0	1	7	3
71.774229	0	1	7	4
72.590430	0	1	7	5
73.606926	0	1	7	6
74.123198	0	1	11	1
87.135444	0	1	11	2
88.235684	0	1	11	3
89.251485	0	1	11	4
90.667465	0	1	11	5
91.683841	0	1	11	6
92.200271	0	1	3	1
101.713503	0	1	3	2
102.563737	0	1	3	3
103.896202	0	1	3	4
104.995630	0	1	3	5
106.012010	0	1	3	6
106.528476	0	1	6	1
110.043901	0	1	6	2
110.624125	0	1	6	3
112.026687	0	1	6	4
113.059474	0	1	6	5
114.075774	0	1	6	6
114.592247	0	1	14	1
119.857065	0	1	14	2
120.357313	0	1	14	3
121.839831	0	1	14	4
122.789316	0	1	14	5
123.805639	0	1	14	6
124.322109	0	1	9	1
128.587042	0	1	9	2
129.137201	0	1	9	3
130.336800	0	1	9	4
131.569517	0	1	9	5
132.585841	0	1	9	6
133.102290	0	1	13	1
151.612343	0	1	13	2
152.462603	0	1	13	3
153.678445	0	1	13	4
154.894497	0	1	13	5
155.910815	0	1	13	6
156.427060	0	1	5	1
163.441481	0	1	5	2
164.541726	0	1	5	3
165.540659	0	1	5	4
166.973323	0	1	5	5
167.989793	0	1	5	6
168.506282	0	1	1	1
178.019559	0	1	1	2
178.789809	0	1	1	3
179.435889	0	1	1	4
181.218403	0	1	1	5
182.234713	0	1	1	6
182.751184	0	1	8	1
195.763204	0	1	8	2
196.363456	0	1	8	3
197.612709	0	1	8	4
198.795442	0	1	8	5
199.811755	0	1	8	6
200.328217	0	1	4	1
203.343764	0	1	4	2
203.993982	0	1	4	3
204.843386	0	1	4	4
206.425973	0	1	4	5
207.442360	0	1	4	6
213.973339	0	2	14	1
217.488762	0	2	14	2
218.139058	0	2	14	3
219.271619	0	2	14	4
220.570982	0	2	14	5
221.587090	0	2	14	6
222.103707	0	2	13	1
229.117935	0	2	13	2
229.968204	0	2	13	3
230.983884	0	2	13	4
232.399866	0	2	13	5
233.416408	0	2	13	6
233.932641	0	2	6	1
238.198015	0	2	6	2
238.968239	0	2	6	3
239.780941	0	2	6	4
241.396847	0	2	6	5
242.413183	0	2	6	6
242.929595	0	2	11	1
245.945005	0	2	11	2
246.525183	0	2	11	3
247.561300	0	2	11	4
248.960596	0	2	11	5
249.977127	0	2	11	6
250.493588	0	2	5	1
255.758389	0	2	5	2
256.308608	0	2	5	3
257.175093	0	2	5	4
258.740455	0	2	5	5
259.756968	0	2	5	6
260.273409	0	2	10	1
273.285440	0	2	10	2
274.385709	0	2	10	3
275.668088	0	2	10	4
276.817498	0	2	10	5
277.833586	0	2	10	6
278.350277	0	2	7	1
287.863547	0	2	7	2
288.363811	0	2	7	3
289.646388	0	2	7	4
290.795802	0	2	7	5
291.812137	0	2	7	6
292.328597	0	2	4	1
310.838663	0	2	4	2
311.438933	0	2	4	3
312.488234	0	2	4	4
313.870894	0	2	4	5
314.887181	0	2	4	6
315.403669	0	2	2	1
318.919100	0	2	2	2
319.419359	0	2	2	3
320.318764	0	2	2	4
321.851371	0	2	2	5
322.867678	0	2	2	6
323.384151	0	2	9	1
330.398312	0	2	9	2
330.998585	0	2	9	3
332.031236	0	2	9	4
333.430556	0	2	9	5
334.446639	0	2	9	6
334.963303	0	2	1	1
344.476610	0	2	1	2
345.126866	0	2	1	3
345.776343	0	2	1	4
347.558825	0	2	1	5
348.574911	0	2	1	6
349.091602	0	2	15	1
354.356412	0	2	15	2
354.936645	0	2	15	3
355.656077	0	2	15	4
357.371949	0	2	15	5
358.388292	0	2	15	6
358.904749	0	2	16	1
371.916791	0	2	16	2
372.687057	0	2	16	3
373.549700	0	2	16	4
375.115627	0	2	16	5
376.131941	0	2	16	6
376.648380	0	2	12	1
380.913334	0	2	12	2
382.013521	0	2	12	3
382.763063	0	2	12	4
384.445614	0	2	12	5
385.461897	0	2	12	6
385.978397	0	2	8	1
404.488442	0	2	8	2
405.338709	0	2	8	3
407.187438	0	2	8	4
407.770390	0	2	8	5
408.786678	0	2	8	6
409.303368	0	2	3	1
412.318972	0	2	3	2
412.869222	0	2	3	3
414.501694	0	2	3	4
415.301234	0	2	3	5
416.317542	0	2	3	6
