onset	duration	partner (1=human,2=computer)	trial type	event type
5.031351	0	2	6	1
12.045405	0	2	6	2
12.645663	0	2	6	3
13.778100	0	2	6	4
15.077490	0	2	6	5
16.093894	0	2	6	6
16.610307	0	2	3	1
20.875423	0	2	3	2
21.455621	0	2	3	3
22.658310	0	2	3	4
23.891058	0	2	3	5
24.907252	0	2	3	6
25.423700	0	2	8	1
38.435540	0	2	8	2
38.935729	0	2	8	3
39.735216	0	2	8	4
41.367830	0	2	8	5
42.384050	0	2	8	6
42.900505	0	2	9	1
46.415887	0	2	9	2
46.966125	0	2	9	3
47.782040	0	2	9	4
49.398190	0	2	9	5
50.414389	0	2	9	6
50.930831	0	2	13	1
60.443971	0	2	13	2
61.214200	0	2	13	3
62.926619	0	2	13	4
63.642872	0	2	13	5
64.659028	0	2	13	6
65.175516	0	2	11	1
83.685285	0	2	11	2
84.535538	0	2	11	3
85.084936	0	2	11	4
86.967468	0	2	11	5
87.983655	0	2	11	6
88.499929	0	2	5	1
91.515693	0	2	5	2
92.615945	0	2	5	3
93.648452	0	2	5	4
95.047808	0	2	5	5
96.063969	0	2	5	6
96.580460	0	2	10	1
101.845141	0	2	10	2
102.495390	0	2	10	3
103.611200	0	2	10	4
104.927240	0	2	10	5
105.943637	0	2	10	6
106.460084	0	2	1	1
109.975437	0	2	1	2
110.825662	0	2	1	3
111.458440	0	2	1	4
113.257665	0	2	1	5
114.273860	0	2	1	6
114.790311	0	2	7	1
127.802154	0	2	7	2
128.302321	0	2	7	3
130.001438	0	2	7	4
130.734354	0	2	7	5
131.750661	0	2	7	6
132.267083	0	2	12	1
139.281188	0	2	12	2
139.861430	0	2	12	3
140.531404	0	2	12	4
142.296823	0	2	12	5
143.313006	0	2	12	6
143.829457	0	2	4	1
162.339232	0	2	4	2
163.109446	0	2	4	3
164.188750	0	2	4	4
165.538106	0	2	4	5
166.554317	0	2	4	6
167.070561	0	2	2	1
172.335465	0	2	2	2
172.885705	0	2	2	3
173.551908	0	2	2	4
175.317809	0	2	2	5
176.334003	0	2	2	6
176.850234	0	2	15	1
181.115554	0	2	15	2
181.715793	0	2	15	3
182.831793	0	2	15	4
184.147844	0	2	15	5
185.164033	0	2	15	6
185.680481	0	2	14	1
195.193625	0	2	14	2
196.293896	0	2	14	3
197.726238	0	2	14	4
198.725730	0	2	14	5
199.741921	0	2	14	6
200.258257	0	2	16	1
203.273932	0	2	16	2
203.924157	0	2	16	3
205.506458	0	2	16	4
206.356002	0	2	16	5
207.372410	0	2	16	6
213.903284	0	1	12	1
223.416380	0	1	12	2
224.016675	0	1	12	3
224.616154	0	1	12	4
226.448701	0	1	12	5
227.464894	0	1	12	6
227.981361	0	1	15	1
232.246440	0	1	15	2
233.346697	0	1	15	3
234.062640	0	1	15	4
235.778559	0	1	15	5
236.794738	0	1	15	6
237.311207	0	1	11	1
244.325219	0	1	11	2
245.175434	0	1	11	3
245.858219	0	1	11	4
247.607458	0	1	11	5
248.623656	0	1	11	6
249.140080	0	1	3	1
254.404837	0	1	3	2
255.175109	0	1	3	3
256.187709	0	1	3	4
257.603727	0	1	3	5
258.619921	0	1	3	6
259.136160	0	1	16	1
262.651719	0	1	16	2
263.201966	0	1	16	3
263.917932	0	1	16	4
265.633850	0	1	16	5
266.650279	0	1	16	6
267.166714	0	1	7	1
285.676451	0	1	7	2
286.326708	0	1	7	3
287.459340	0	1	7	4
288.758730	0	1	7	5
289.774944	0	1	7	6
290.291398	0	1	1	1
303.303218	0	1	1	2
303.883484	0	1	1	3
304.869452	0	1	1	4
306.318793	0	1	1	5
307.335051	0	1	1	6
307.851470	0	1	9	1
310.867061	0	1	9	2
311.367309	0	1	9	3
312.166785	0	1	9	4
313.799397	0	1	9	5
314.815363	0	1	9	6
315.332026	0	1	6	1
320.596756	0	1	6	2
321.176977	0	1	6	3
321.863393	0	1	6	4
323.612390	0	1	6	5
324.628586	0	1	6	6
325.145008	0	1	13	1
329.410130	0	1	13	2
330.260405	0	1	13	3
331.392945	0	1	13	4
332.692337	0	1	13	5
333.708523	0	1	13	6
334.224770	0	1	8	1
343.738118	0	1	8	2
344.838406	0	1	8	3
345.920825	0	1	8	4
347.270202	0	1	8	5
348.286408	0	1	8	6
348.802863	0	1	5	1
355.816905	0	1	5	2
356.417171	0	1	5	3
357.133306	0	1	5	4
358.849224	0	1	5	5
359.865435	0	1	5	6
360.381874	0	1	2	1
363.897220	0	1	2	2
364.447487	0	1	2	3
365.629941	0	1	2	4
366.879349	0	1	2	5
367.895751	0	1	2	6
368.412211	0	1	14	1
386.921742	0	1	14	2
387.691904	0	1	14	3
389.204658	0	1	14	4
390.120844	0	1	14	5
391.137040	0	1	14	6
391.653516	0	1	4	1
394.669083	0	1	4	2
395.319348	0	1	4	3
396.251828	0	1	4	4
397.751147	0	1	4	5
398.767542	0	1	4	6
399.284003	0	1	10	1
412.295826	0	1	10	2
412.796089	0	1	10	3
414.445255	0	1	10	4
415.228154	0	1	10	5
416.244126	0	1	10	6
