onset	duration	partner (1=human,2=computer)	trial type	event type
5.031500	0	1	5	1
9.296386	0	1	5	2
10.146582	0	1	5	3
10.779626	0	1	5	4
12.578797	0	1	5	5
13.595052	0	1	5	6
14.111480	0	1	9	1
32.621423	0	1	9	2
33.271648	0	1	9	3
33.871118	0	1	9	4
35.703613	0	1	9	5
36.719913	0	1	9	6
37.236366	0	1	2	1
50.248257	0	1	2	2
51.018475	0	1	2	3
51.681750	0	1	2	4
53.447130	0	1	2	5
54.463421	0	1	2	6
54.979902	0	1	14	1
64.493056	0	1	14	2
64.993225	0	1	14	3
65.842772	0	1	14	4
67.425356	0	1	14	5
68.441648	0	1	14	6
68.958107	0	1	8	1
74.222870	0	1	8	2
74.773072	0	1	8	3
75.389762	0	1	8	4
77.205105	0	1	8	5
78.221407	0	1	8	6
78.737861	0	1	4	1
85.751993	0	1	4	2
86.852228	0	1	4	3
87.418233	0	1	4	4
89.284038	0	1	4	5
90.300326	0	1	4	6
90.816786	0	1	1	1
94.332177	0	1	1	2
94.932419	0	1	1	3
95.548580	0	1	1	4
97.364411	0	1	1	5
98.380713	0	1	1	6
98.897166	0	1	7	1
101.912744	0	1	7	2
102.492939	0	1	7	3
103.145793	0	1	7	4
104.928374	0	1	7	5
105.944608	0	1	7	6
106.461056	0	1	6	1
115.974144	0	1	6	2
116.474274	0	1	6	3
117.340506	0	1	6	4
118.906430	0	1	6	5
119.922824	0	1	6	6
120.439293	0	1	13	1
138.949213	0	1	13	2
139.719467	0	1	13	3
140.398854	0	1	13	4
142.148045	0	1	13	5
143.164334	0	1	13	6
143.680784	0	1	10	1
156.692719	0	1	10	2
157.272956	0	1	10	3
157.959092	0	1	10	4
159.708282	0	1	10	5
160.724579	0	1	10	6
161.241042	0	1	3	1
168.255158	0	1	3	2
169.105410	0	1	3	3
170.237938	0	1	3	4
171.537292	0	1	3	5
172.553366	0	1	3	6
173.069967	0	1	11	1
176.085633	0	1	11	2
176.635885	0	1	11	3
177.451973	0	1	11	4
179.067878	0	1	11	5
180.084182	0	1	11	6
180.600622	0	1	16	1
184.116032	0	1	16	2
184.716239	0	1	16	3
185.532141	0	1	16	4
187.148062	0	1	16	5
188.164566	0	1	16	6
188.681001	0	1	12	1
192.946132	0	1	12	2
194.046380	0	1	12	3
194.762101	0	1	12	4
196.477968	0	1	12	5
197.494466	0	1	12	6
198.010920	0	1	15	1
203.275687	0	1	15	2
203.925919	0	1	15	3
204.592041	0	1	15	4
206.357889	0	1	15	5
207.374212	0	1	15	6
213.905128	0	2	11	1
216.920590	0	2	11	2
217.690819	0	2	11	3
218.304189	0	2	11	4
220.119501	0	2	11	5
221.135827	0	2	11	6
221.652295	0	2	14	1
226.917035	0	2	14	2
227.517235	0	2	14	3
228.583292	0	2	14	4
229.949288	0	2	14	5
230.965544	0	2	14	6
231.482022	0	2	5	1
244.493885	0	2	5	2
245.594123	0	2	5	3
246.443391	0	2	5	4
248.025976	0	2	5	5
249.042266	0	2	5	6
249.558755	0	2	9	1
253.823832	0	2	9	2
254.404066	0	2	9	3
254.990093	0	2	9	4
256.839248	0	2	9	5
257.855734	0	2	9	6
258.372194	0	2	2	1
276.882154	0	2	2	2
277.382436	0	2	2	3
277.998523	0	2	2	4
279.814356	0	2	2	5
280.830654	0	2	2	6
281.347142	0	2	4	1
288.361263	0	2	4	2
289.011488	0	2	4	3
289.644286	0	2	4	4
291.443454	0	2	4	5
292.459744	0	2	4	6
292.976206	0	2	13	1
302.489422	0	2	13	2
303.039683	0	2	13	3
303.705815	0	2	13	4
305.471667	0	2	13	5
306.487958	0	2	13	6
307.004418	0	2	3	1
310.519629	0	2	3	2
311.369816	0	2	3	3
312.119409	0	2	3	4
313.801960	0	2	3	5
314.818241	0	2	3	6
315.334707	0	2	8	1
318.350068	0	2	8	2
319.450258	0	2	8	3
320.216409	0	2	8	4
321.882296	0	2	8	5
322.898623	0	2	8	6
323.415085	0	2	7	1
332.928295	0	2	7	2
333.778558	0	2	7	3
334.794447	0	2	7	4
336.210424	0	2	7	5
337.226726	0	2	7	6
337.743168	0	2	12	1
344.757298	0	2	12	2
345.527533	0	2	12	3
346.590601	0	2	12	4
347.956103	0	2	12	5
348.972427	0	2	12	6
349.488879	0	2	15	1
354.753650	0	2	15	2
355.403915	0	2	15	3
356.253786	0	2	15	4
357.835886	0	2	15	5
358.851929	0	2	15	6
359.368611	0	2	1	1
363.633763	0	2	1	2
364.134021	0	2	1	3
364.650194	0	2	1	4
366.565991	0	2	1	5
367.582077	0	2	1	6
368.098688	0	2	6	1
381.110602	0	2	6	2
381.690827	0	2	6	3
382.626765	0	2	6	4
384.126048	0	2	6	5
385.142548	0	2	6	6
385.659007	0	2	16	1
404.168931	0	2	16	2
404.719178	0	2	16	3
405.552402	0	2	16	4
407.151155	0	2	16	5
408.167464	0	2	16	6
408.683903	0	2	10	1
412.199310	0	2	10	2
412.799549	0	2	10	3
413.548995	0	2	10	4
415.231542	0	2	10	5
416.247830	0	2	10	6
