onset	duration	partner (1=human,2=computer)	trial type	event type
5.033070	0	1	10	1
8.549621	0	1	10	2
9.649909	0	1	10	3
10.399680	0	1	10	4
12.082751	0	1	10	5
13.099427	0	1	10	6
13.616019	0	1	8	1
16.632595	0	1	8	2
17.402839	0	1	8	3
18.032683	0	1	8	4
19.832411	0	1	8	5
20.849056	0	1	8	6
21.365663	0	1	15	1
28.382069	0	1	15	2
28.982296	0	1	15	3
29.848831	0	1	15	4
31.415236	0	1	15	5
32.431858	0	1	15	6
32.948579	0	1	9	1
37.214992	0	1	9	2
37.795208	0	1	9	3
38.381772	0	1	9	4
40.231497	0	1	9	5
41.248151	0	1	9	6
41.764774	0	1	6	1
60.280648	0	1	6	2
60.780855	0	1	6	3
61.347414	0	1	6	4
63.213805	0	1	6	5
64.230460	0	1	6	6
64.747113	0	1	16	1
74.263380	0	1	16	2
74.813615	0	1	16	3
75.413480	0	1	16	4
77.246540	0	1	16	5
78.263171	0	1	16	6
78.779822	0	1	11	1
84.046263	0	1	11	2
84.896478	0	1	11	3
85.446354	0	1	11	4
87.329408	0	1	11	5
88.346066	0	1	11	6
88.862679	0	1	7	1
101.878799	0	1	7	2
102.529042	0	1	7	3
103.478885	0	1	7	4
104.961963	0	1	7	5
105.978599	0	1	7	6
106.495024	0	1	14	1
125.011122	0	1	14	2
125.781377	0	1	14	3
126.594542	0	1	14	4
128.210945	0	1	14	5
129.227584	0	1	14	6
129.744230	0	1	13	1
132.760769	0	1	13	2
133.311015	0	1	13	3
134.194209	0	1	13	4
135.743947	0	1	13	5
136.760576	0	1	13	6
137.277202	0	1	1	1
140.793700	0	1	1	2
141.443976	0	1	1	3
141.977178	0	1	1	4
143.876900	0	1	1	5
144.893479	0	1	1	6
145.410174	0	1	2	1
158.426302	0	1	2	2
159.006553	0	1	2	3
160.143377	0	1	2	4
161.442793	0	1	2	5
162.459441	0	1	2	6
162.976077	0	1	4	1
168.242539	0	1	4	2
168.742760	0	1	4	3
169.742670	0	1	4	4
171.175751	0	1	4	5
172.192350	0	1	4	6
172.708989	0	1	5	1
179.725356	0	1	5	2
180.575622	0	1	5	3
181.725425	0	1	5	4
183.008513	0	1	5	5
184.025163	0	1	5	6
184.541868	0	1	12	1
194.058050	0	1	12	2
195.158309	0	1	12	3
195.708083	0	1	12	4
197.591141	0	1	12	5
198.607829	0	1	12	6
199.124473	0	1	3	1
203.390970	0	1	3	2
203.991208	0	1	3	3
204.707734	0	1	3	4
206.424132	0	1	3	5
207.440776	0	1	3	6
213.973835	0	2	2	1
218.240319	0	2	2	2
219.010631	0	2	2	3
219.790406	0	2	2	4
221.440141	0	2	2	5
222.456749	0	2	2	6
222.973397	0	2	15	1
226.489933	0	2	15	2
227.340186	0	2	15	3
228.456680	0	2	15	4
229.773102	0	2	15	5
230.789750	0	2	15	6
231.306382	0	2	8	1
238.322745	0	2	8	2
238.822986	0	2	8	3
239.439749	0	2	8	4
241.255911	0	2	8	5
242.272362	0	2	8	6
242.789186	0	2	7	1
245.805735	0	2	7	2
246.906005	0	2	7	3
247.772484	0	2	7	4
249.338893	0	2	7	5
250.355531	0	2	7	6
250.872166	0	2	11	1
263.888290	0	2	11	2
264.438522	0	2	11	3
265.255035	0	2	11	4
266.871438	0	2	11	5
267.888098	0	2	11	6
268.404729	0	2	16	1
277.920993	0	2	16	2
278.571218	0	2	16	3
279.304426	0	2	16	4
281.004158	0	2	16	5
282.020779	0	2	16	6
282.537446	0	2	6	1
301.053290	0	2	6	2
301.633559	0	2	6	3
302.553380	0	2	6	4
304.069790	0	2	6	5
305.086437	0	2	6	6
305.603071	0	2	13	1
310.869521	0	2	13	2
311.469760	0	2	13	3
312.502940	0	2	13	4
313.902690	0	2	13	5
314.919346	0	2	13	6
315.435962	0	2	14	1
320.702439	0	2	14	2
321.802718	0	2	14	3
322.619182	0	2	14	4
324.235585	0	2	14	5
325.252220	0	2	14	6
325.768851	0	2	10	1
332.785237	0	2	10	2
333.635521	0	2	10	3
334.485275	0	2	10	4
336.068349	0	2	10	5
337.085067	0	2	10	6
337.601660	0	2	5	1
350.617774	0	2	5	2
351.118054	0	2	5	3
352.601132	0	2	5	4
353.550910	0	2	5	5
354.567585	0	2	5	6
355.084214	0	2	12	1
364.600485	0	2	12	2
365.150754	0	2	12	3
365.883858	0	2	12	4
367.583593	0	2	12	5
368.600296	0	2	12	6
369.116931	0	2	4	1
372.633464	0	2	4	2
373.213712	0	2	4	3
373.950249	0	2	4	4
375.649983	0	2	4	5
376.666600	0	2	4	6
377.183228	0	2	9	1
395.699097	0	2	9	2
396.469375	0	2	9	3
397.349167	0	2	9	4
398.898903	0	2	9	5
399.915561	0	2	9	6
400.432212	0	2	3	1
404.698693	0	2	3	2
405.298976	0	2	3	3
406.132119	0	2	3	4
407.731858	0	2	3	5
408.748513	0	2	3	6
409.265141	0	2	1	1
412.281690	0	2	1	2
412.931975	0	2	1	3
413.481803	0	2	1	4
415.364857	0	2	1	5
416.381504	0	2	1	6
