onset	duration	partner (1=human,2=computer)	trial type	event type
5.031535	0	1	6	1
14.544726	0	1	6	2
15.124998	0	1	6	3
15.878231	0	1	6	4
17.560337	0	1	6	5
18.576526	0	1	6	6
19.093013	0	1	16	1
32.104850	0	1	16	2
32.755032	0	1	16	3
33.588345	0	1	16	4
35.187139	0	1	16	5
36.203383	0	1	16	6
36.719845	0	1	2	1
41.984590	0	1	2	2
42.584811	0	1	2	3
43.434217	0	1	2	4
45.016823	0	1	2	5
46.033086	0	1	2	6
46.549558	0	1	11	1
65.059413	0	1	11	2
66.159657	0	1	11	3
66.958923	0	1	11	4
68.591524	0	1	11	5
69.607746	0	1	11	6
70.124219	0	1	10	1
73.639605	0	1	10	2
74.409837	0	1	10	3
75.639066	0	1	10	4
76.838484	0	1	10	5
77.854659	0	1	10	6
78.371147	0	1	9	1
85.385145	0	1	9	2
85.885317	0	1	9	3
86.651657	0	1	9	4
88.317580	0	1	9	5
89.333811	0	1	9	6
89.850235	0	1	1	1
92.865874	0	1	1	2
93.416096	0	1	1	3
94.582063	0	1	1	4
95.848122	0	1	1	5
96.864417	0	1	1	6
97.380799	0	1	8	1
101.645938	0	1	8	2
102.496173	0	1	8	3
103.095364	0	1	8	4
104.927896	0	1	8	5
105.944346	0	1	8	6
106.460824	0	1	13	1
111.725517	0	1	13	2
112.325726	0	1	13	3
113.541765	0	1	13	4
114.757843	0	1	13	5
115.774030	0	1	13	6
116.290560	0	1	15	1
125.803740	0	1	15	2
126.453987	0	1	15	3
127.536610	0	1	15	4
128.885976	0	1	15	5
129.902172	0	1	15	6
130.418660	0	1	12	1
137.432770	0	1	12	2
138.533031	0	1	12	3
139.149008	0	1	12	4
140.964878	0	1	12	5
141.981078	0	1	12	6
142.497530	0	1	3	1
146.762659	0	1	3	2
147.532904	0	1	3	3
148.695475	0	1	3	4
149.961535	0	1	3	5
150.977766	0	1	3	6
151.494219	0	1	14	1
155.009619	0	1	14	2
155.589831	0	1	14	3
156.742500	0	1	14	4
158.025223	0	1	14	5
159.041443	0	1	14	6
159.557916	0	1	5	1
172.569833	0	1	5	2
173.420045	0	1	5	3
174.436014	0	1	5	4
175.852017	0	1	5	5
176.868238	0	1	5	6
177.384703	0	1	7	1
195.894575	0	1	7	2
196.394837	0	1	7	3
197.377541	0	1	7	4
198.826871	0	1	7	5
199.843095	0	1	7	6
200.359567	0	1	4	1
203.375124	0	1	4	2
203.925337	0	1	4	3
204.758138	0	1	4	4
206.357416	0	1	4	5
207.373653	0	1	4	6
213.904590	0	2	12	1
220.918696	0	2	12	2
221.518957	0	2	12	3
222.101752	0	2	12	4
223.950944	0	2	12	5
224.967172	0	2	12	6
225.483641	0	2	14	1
229.748772	0	2	14	2
230.329012	0	2	14	3
231.464973	0	2	14	4
232.764354	0	2	14	5
233.780597	0	2	14	6
234.297068	0	2	6	1
237.312618	0	2	6	2
238.162887	0	2	6	3
239.095499	0	2	6	4
240.594811	0	2	6	5
241.611043	0	2	6	6
242.127503	0	2	2	1
260.637329	0	2	2	2
261.407528	0	2	2	3
262.353591	0	2	2	4
263.836242	0	2	2	5
264.852491	0	2	2	6
265.368953	0	2	11	1
278.380843	0	2	11	2
278.881069	0	2	11	3
279.913790	0	2	11	4
281.313137	0	2	11	5
282.329374	0	2	11	6
282.845836	0	2	3	1
286.361247	0	2	3	2
287.011517	0	2	3	3
288.394009	0	2	3	4
289.443477	0	2	3	5
290.459715	0	2	3	6
290.976162	0	2	4	1
300.489312	0	2	4	2
301.589573	0	2	4	3
302.322201	0	2	4	4
304.021446	0	2	4	5
305.037673	0	2	4	6
305.553965	0	2	1	1
310.818879	0	2	1	2
311.369111	0	2	1	3
312.235220	0	2	1	4
313.801171	0	2	1	5
314.817409	0	2	1	6
315.333871	0	2	16	1
333.843747	0	2	16	2
334.394004	0	2	16	3
335.593288	0	2	16	4
336.826028	0	2	16	5
337.842242	0	2	16	6
338.358724	0	2	9	1
345.372798	0	2	9	2
346.143053	0	2	9	3
346.989100	0	2	9	4
348.571717	0	2	9	5
349.587776	0	2	9	6
350.104391	0	2	8	1
354.369497	0	2	8	2
354.969767	0	2	8	3
355.969511	0	2	8	4
357.401773	0	2	8	5
358.417994	0	2	8	6
358.934466	0	2	7	1
361.950048	0	2	7	2
362.800285	0	2	7	3
363.849533	0	2	7	4
365.232220	0	2	7	5
366.248472	0	2	7	6
366.764924	0	2	15	1
379.776826	0	2	15	2
380.277057	0	2	15	3
381.259786	0	2	15	4
382.709117	0	2	15	5
383.725328	0	2	15	6
384.241821	0	2	10	1
389.506575	0	2	10	2
390.156829	0	2	10	3
391.072832	0	2	10	4
392.588807	0	2	10	5
393.605052	0	2	10	6
394.121498	0	2	13	1
397.636891	0	2	13	2
398.217160	0	2	13	3
399.036565	0	2	13	4
400.652505	0	2	13	5
401.668742	0	2	13	6
402.185205	0	2	5	1
411.698362	0	2	5	2
412.798646	0	2	5	3
413.981076	0	2	5	4
415.230474	0	2	5	5
416.246723	0	2	5	6
