onset	duration	partner (1=human,2=computer)	trial type	event type
5.049581	0	2	9	1
14.599259	0	2	9	2
15.149470	0	2	9	3
16.216072	0	2	9	4
17.603707	0	2	9	5
18.615969	0	2	9	6
19.132586	0	2	8	1
23.399187	0	2	8	2
23.899398	0	2	8	3
24.983064	0	2	8	4
26.332481	0	2	8	5
27.349022	0	2	8	6
27.865709	0	2	1	1
33.132222	0	2	1	2
33.732414	0	2	1	3
34.832323	0	2	1	4
36.165469	0	2	1	5
37.182055	0	2	1	6
37.698673	0	2	4	1
41.215251	0	2	4	2
41.865471	0	2	4	3
42.765853	0	2	4	4
44.298322	0	2	4	5
45.315115	0	2	4	6
45.831745	0	2	11	1
64.347787	0	2	11	2
65.448044	0	2	11	3
66.797892	0	2	11	4
67.881045	0	2	11	5
68.897642	0	2	11	6
69.414235	0	2	5	1
82.430515	0	2	5	2
83.280737	0	2	5	3
84.530662	0	2	5	4
85.713813	0	2	5	5
86.730165	0	2	5	6
87.247017	0	2	2	1
94.263489	0	2	2	2
95.033747	0	2	2	3
95.896947	0	2	2	4
97.463425	0	2	2	5
98.479998	0	2	2	6
98.996631	0	2	16	1
102.013212	0	2	16	2
102.593420	0	2	16	3
103.813347	0	2	16	4
105.029820	0	2	16	5
106.046418	0	2	16	6
106.562829	0	2	7	1
113.579485	0	2	7	2
114.679761	0	2	7	3
116.079582	0	2	7	4
117.112734	0	2	7	5
118.129310	0	2	7	6
118.645972	0	2	10	1
131.662214	0	2	10	2
132.262423	0	2	10	3
133.445656	0	2	10	4
134.695473	0	2	10	5
135.712067	0	2	10	6
136.228671	0	2	12	1
145.744948	0	2	12	2
146.295162	0	2	12	3
147.145010	0	2	12	4
148.728154	0	2	12	5
149.744946	0	2	12	6
150.261576	0	2	13	1
155.528112	0	2	13	2
156.108369	0	2	13	3
157.261569	0	2	13	4
158.544717	0	2	13	5
159.561280	0	2	13	6
160.077907	0	2	6	1
164.344417	0	2	6	2
165.114616	0	2	6	3
166.127919	0	2	6	4
167.544394	0	2	6	5
168.560979	0	2	6	6
169.077598	0	2	14	1
172.594141	0	2	14	2
173.094354	0	2	14	3
174.610971	0	2	14	4
175.527459	0	2	14	5
176.544051	0	2	14	6
177.060460	0	2	3	1
180.077258	0	2	3	2
180.727501	0	2	3	3
182.194059	0	2	3	4
183.160547	0	2	3	5
184.177100	0	2	3	6
184.693751	0	2	15	1
203.209833	0	2	15	2
204.060077	0	2	15	3
204.876608	0	2	15	4
206.493085	0	2	15	5
207.509445	0	2	15	6
214.042775	0	1	2	1
217.559112	0	1	2	2
218.409324	0	1	2	3
219.192810	0	1	2	4
220.842621	0	1	2	5
221.859197	0	1	2	6
222.375817	0	1	16	1
235.392072	0	1	16	2
236.042328	0	1	16	3
237.608865	0	1	16	4
238.475353	0	1	16	5
239.491929	0	1	16	6
240.008421	0	1	12	1
247.024985	0	1	12	2
247.605245	0	1	12	3
248.758745	0	1	12	4
250.041426	0	1	12	5
251.058182	0	1	12	6
251.574845	0	1	7	1
270.090684	0	1	7	2
270.640832	0	1	7	3
271.657706	0	1	7	4
273.074185	0	1	7	5
274.090768	0	1	7	6
274.607399	0	1	11	1
277.623939	0	1	11	2
278.224179	0	1	11	3
279.107462	0	1	11	4
280.657272	0	1	11	5
281.673848	0	1	11	6
282.190486	0	1	1	1
287.456984	0	1	1	2
288.227239	0	1	1	3
289.107130	0	1	1	4
290.656941	0	1	1	5
291.673510	0	1	1	6
292.190113	0	1	3	1
296.456687	0	1	3	2
296.956977	0	1	3	3
298.123549	0	1	3	4
299.390030	0	1	3	5
300.406337	0	1	3	6
300.923175	0	1	6	1
310.439332	0	1	6	2
311.539520	0	1	6	3
312.973473	0	1	6	4
313.972819	0	1	6	5
314.989395	0	1	6	6
315.506025	0	1	13	1
320.772522	0	1	13	2
321.352781	0	1	13	3
322.172687	0	1	13	4
323.789162	0	1	13	5
324.805738	0	1	13	6
325.322365	0	1	4	1
343.838402	0	1	4	2
344.388632	0	1	4	3
345.671890	0	1	4	4
346.821708	0	1	4	5
347.838286	0	1	4	6
348.354951	0	1	10	1
357.871261	0	1	10	2
358.521487	0	1	10	3
359.321463	0	1	10	4
360.954606	0	1	10	5
361.971140	0	1	10	6
362.487566	0	1	5	1
365.504345	0	1	5	2
366.004606	0	1	5	3
366.937845	0	1	5	4
368.437658	0	1	5	5
369.454231	0	1	5	6
369.970853	0	1	15	1
382.987118	0	1	15	2
383.757402	0	1	15	3
384.570587	0	1	15	4
386.187064	0	1	15	5
387.203634	0	1	15	6
387.720078	0	1	9	1
391.986835	0	1	9	2
392.837099	0	1	9	3
393.770277	0	1	9	4
395.270088	0	1	9	5
396.286659	0	1	9	6
396.803298	0	1	14	1
400.319641	0	1	14	2
400.919829	0	1	14	3
401.770001	0	1	14	4
403.353148	0	1	14	5
404.369508	0	1	14	6
404.886235	0	1	8	1
411.902814	0	1	8	2
413.003095	0	1	8	3
414.469565	0	1	8	4
415.436052	0	1	8	5
416.452650	0	1	8	6
